Sitrep,Report_date,Publication_date,Provinces,Zones,Confirmed,Deaths,cfr_pct,in_isolation,Recovered,Suspects-today,Contact_tracing,Source_pdf,Status
55,2026-07-08,2026-07-09,3,37,1792,625,34.9,764,295,227,78.6,Draft_SitRep_MVE_RDC_N_055_08_07_2026.pdf,provisional
56,2026-07-09,2026-07-10,3,37,1830,648,35.4,780,300,284,78.1,SitRep_MVE_RDC_N_56_09-07-2026.pdf,final
57,2026-07-10,2026-07-11,5,41,1873,672,35.9,763,306,299,71.7,Draft_SitRep_MVE_RDC_NA_57_10-07-2026_IM_SAM_vf.pdf,provisional
58,2026-07-11,2026-07-12,5,42,1926,702,36.4,753,318,299,78.3,Draft_SitRep_MVE_RDC_N_58_11-07-2026-final.pdf,provisional
59,2026-07-12,2026-07-13,5,42,1963,719,36.6,736,333,268,81.5,SitRep-MVE-17-No59-Analytique-final.pdf,final
60,2026-07-13,2026-07-14,5,45,2011,754,37.5,753,366,268,67.4,Draft_SitRep_MVE_RDC_N_60_13-07-2026_Analytique_VF.pdf,provisional
61,2026-07-14,2026-07-15,5,45,2073,796,38.4,737,377,418,76.6,Draft_SitRep_MVE_RDC_N_61_14-07-2026_Analytique.pdf,provisional
62,2026-07-15,2026-07-16,5,46,2124,828,39,725,390,389,80.3,Draft_SitRep_MVE_RDC_N_62_15-07-2026_VF.pdf,provisional
63,2026-07-16,2026-07-17,5,,2181,,,,,,,SitRep_MVE_RDC_N_63_16-07-2026.pdf,missing
64,2026-07-17,2026-07-18,5,46,2267,893,39.4,722,412,236,83.6,SitRep_MVE_RDC_N_64_17-07-2026_OKK.pdf,final
65,2026-07-18,2026-07-19,5,46,2344,930,39.7,724,466,192,85.8,SitRep_MVE_RDC_N_65_18-07-2026.pdf,provisional
66,2026-07-19,2026-07-20,5,47,2423,967,39.9,734,469,252,81.1,SitRep_MVE_RDC_N_66_19-07-2026.pdf,final
67,2026-07-20,2026-07-21,5,47,2473,999,40.4,737,482,322,82,TODO_sitrep_67.pdf,unverified
68,2026-07-21,2026-07-22,5,47,2536,1033,40.7,738,506,306,77.2,TODO_sitrep_68.pdf,unverified
69,2026-07-22,2026-07-23,5,47,2905,1269,43.7,722,519,318,74.5,TODO_sitrep_69.pdf,unverified
70,2026-07-23,2026-07-24,5,48,2973,1309,44,766,540,315,73.9,TODO_sitrep_70.pdf,unverified
71,2026-07-24,2026-07-25,5,48,3075,1354,44,755,556,274,76.4,TODO_sitrep_71.pdf,unverified
72,2026-07-25,2026-07-26,5,48,3200,1405,43.9,773,571,340,77.8,TODO_sitrep_72.pdf,unverified
73,2026-07-26,2026-07-27,5,48,3262,1437,44.1,723,583,326,78.2,TODO_sitrep_73.pdf,unverified
74,2026-07-27,2026-07-28,5,48,3360,1487,44.3,733,597,321,78.9,TODO_sitrep_074.pdf,unverified
77,2026-07-30,7/31/2026,5,49,3605,1587,44,748,651,374,75.3,TODO_sitrep_77.pdf,unverified
78,2026-07-31,8/1/2026,5,49,3674,1621,44.1,760,666,321,78,TODO_sitrep_78.pdf,unverified
79,2026-08-01,8/2/2026,5,49,3748,1657,44.2,690,708,227,80.1,TODO_sitrep_79.pdf,unverified
80,2026-08-02,8/3/2026,5,51,3802,1707,44.9,707,727,275,79.2,TODO_sitrep_80.pdf,unverified
81,2026-08-03,8/4/2026,5,51,3874,1751,45.1,717,749,301,78.4,TODO_sitrep_81.pdf,unverified
82,2026-08-04,8/5/2026,5,51,3973,1801,45.3,674,776,270,75.3,TODO_sitrep_82.pdf,unverified
