Date,Health Zone,Province,Confirmed Cases,Confirmed Deaths
5/14/2026,Mongbwalu,Ituri,0,
5/15/2026,Bunia,Ituri,0,
5/15/2026,Mongbwalu,Ituri,0,
5/15/2026,Rwampara,Ituri,13,
5/18/2026,Bunia,Ituri,6,
5/18/2026,Butembo,Nord-Kivu,1,
5/18/2026,Goma,Nord-Kivu,1,
5/18/2026,Katwa,Nord-Kivu,1,
5/18/2026,Mongbwalu,Ituri,1,
5/18/2026,Nyankunde,Ituri,4,
5/18/2026,Rwampara,Ituri,19,
5/19/2026,Bunia,Ituri,6,0
5/19/2026,Butembo,Nord-Kivu,1,
5/19/2026,Goma,Nord-Kivu,1,
5/19/2026,Katwa,Nord-Kivu,1,
5/19/2026,Mongbwalu,Ituri,13,0
5/19/2026,Nyankunde,Ituri,4,0
5/19/2026,Rwampara,Ituri,25,0
5/20/2026,Bambu,Ituri,1,
5/20/2026,Bunia,Ituri,11,0
5/20/2026,Butembo,Nord-Kivu,1,
5/20/2026,Goma,Nord-Kivu,1,
5/20/2026,Katwa,Nord-Kivu,1,
5/20/2026,Mongbwalu,Ituri,13,0
5/20/2026,Nyankunde,Ituri,5,0
5/20/2026,Rwampara,Ituri,24,0
5/21/2026,Bambu,Ituri,1,0
5/21/2026,Bunia,Ituri,15,1
5/21/2026,Butembo,Nord-Kivu,2,0
5/21/2026,Goma,Nord-Kivu,1,0
5/21/2026,Katwa,Nord-Kivu,1,0
5/21/2026,Kilo,Ituri,1,0
5/21/2026,Miti-Murhesa,Sud-Kivu,1,0
5/21/2026,Mongbwalu,Ituri,14,0
5/21/2026,Nizi,Ituri,1,0
5/21/2026,Nyankunde,Ituri,11,0
5/21/2026,Rwampara,Ituri,31,1
5/22/2026,Aru,Ituri,1,
5/22/2026,Bambu,Ituri,1,0
5/22/2026,Bunia,Ituri,23,2
5/22/2026,Butembo,Nord-Kivu,2,0
5/22/2026,Goma,Nord-Kivu,1,0
5/22/2026,Katwa,Nord-Kivu,0,0
5/22/2026,Kilo,Ituri,1,0
5/22/2026,Miti-Murhesa,Sud-Kivu,1,0
5/22/2026,Mongbwalu,Ituri,10,0
5/22/2026,Nizi,Ituri,2,0
5/22/2026,Nyankunde,Ituri,9,0
5/22/2026,Rwampara,Ituri,32,2
5/23/2026,Aru,Ituri,1,
5/23/2026,Bambu,Ituri,0,0
5/23/2026,Bunia,Ituri,24,2
5/23/2026,Butembo,Nord-Kivu,1,0
5/23/2026,Goma,Nord-Kivu,1,0
5/23/2026,Katwa,Nord-Kivu,4,0
5/23/2026,Kilo,Ituri,1,0
5/23/2026,Miti-Murhesa,Sud-Kivu,1,0
5/23/2026,Mongbwalu,Ituri,19,0
5/23/2026,Nizi,Ituri,2,0
5/23/2026,Nyankunde,Ituri,9,0
5/23/2026,Rwampara,Ituri,32,2
5/24/2026,Aru,Ituri,1,
5/24/2026,Bambu,Ituri,2,0
5/24/2026,Bunia,Ituri,24,2
5/24/2026,Butembo,Nord-Kivu,3,0
5/24/2026,Goma,Nord-Kivu,1,0
5/24/2026,Kalunguta,Nord-Kivu,1,
5/24/2026,Katwa,Nord-Kivu,4,0
5/24/2026,Kilo,Ituri,1,0
5/24/2026,Miti-Murhesa,Sud-Kivu,1,0
5/24/2026,Mongbwalu,Ituri,19,0
5/24/2026,Nizi,Ituri,2,0
5/24/2026,Nyankunde,Ituri,9,0
5/24/2026,Oicha,Nord-Kivu,1,
5/24/2026,Rwampara,Ituri,32,2
5/25/2026,Aru,Ituri,1,
5/25/2026,Bambu,Ituri,0,
5/25/2026,Bunia,Ituri,24,2
5/25/2026,Butembo,Nord-Kivu,3,
5/25/2026,Goma,Nord-Kivu,1,0
5/25/2026,Kalunguta,Nord-Kivu,1,
5/25/2026,Katwa,Nord-Kivu,4,
5/25/2026,Kilo,Ituri,1,0
5/25/2026,Kyondo,Nord-Kivu,1,
5/25/2026,Miti-Murhesa,Sud-Kivu,1,0
5/25/2026,Mongbwalu,Ituri,19,0
5/25/2026,Nizi,Ituri,2,
